codigo,turno,data/hora,tipo
202500002,Tarde,2025-03-14 12:31:26,Entrada
202400432,Manhã,2025-03-14 12:31:40,Entrada
202500002,Tarde,2025-03-14 12:38:09,Saída
202500452,Tarde,2025-03-14 13:02:06,Entrada
202500490,Tarde,2025-03-14 13:05:03,Entrada
202500471,Tarde,2025-03-14 13:06:45,Entrada
202500494,Tarde,2025-03-14 13:07:21,Entrada
202500413,Tarde,2025-03-14 13:08:41,Entrada
202500392,Tarde,2025-03-14 13:08:44,Entrada
202500412,Tarde,2025-03-14 13:08:52,Entrada
202500458,Tarde,2025-03-14 13:08:57,Entrada
202500465,Tarde,2025-03-14 13:09:01,Entrada
202500426,Tarde,2025-03-14 13:09:06,Entrada
202500382,Tarde,2025-03-14 13:09:10,Entrada
202500379,Tarde,2025-03-14 13:09:14,Entrada
202500404,Tarde,2025-03-14 13:09:16,Entrada
202500395,Tarde,2025-03-14 13:09:17,Entrada
202500380,Tarde,2025-03-14 13:09:19,Entrada
202500481,Tarde,2025-03-14 13:09:22,Entrada
202500400,Tarde,2025-03-14 13:09:25,Entrada
202500441,Tarde,2025-03-14 13:09:28,Entrada
202500438,Tarde,2025-03-14 13:09:30,Entrada
202500389,Tarde,2025-03-14 13:09:33,Entrada
202500421,Tarde,2025-03-14 13:09:39,Entrada
202500422,Tarde,2025-03-14 13:09:42,Entrada
202500414,Tarde,2025-03-14 13:09:45,Entrada
202500431,Tarde,2025-03-14 13:09:50,Entrada
202500408,Tarde,2025-03-14 13:09:53,Entrada
202500434,Tarde,2025-03-14 13:09:58,Entrada
202500432,Tarde,2025-03-14 13:10:02,Entrada
202500427,Tarde,2025-03-14 13:10:12,Entrada
202500418,Tarde,2025-03-14 13:10:16,Entrada
202500393,Tarde,2025-03-14 13:10:24,Entrada
202500394,Tarde,2025-03-14 13:10:29,Entrada
202500386,Tarde,2025-03-14 13:10:34,Entrada
202500388,Tarde,2025-03-14 13:10:38,Entrada
202500457,Tarde,2025-03-14 13:10:43,Entrada
202500424,Tarde,2025-03-14 13:10:48,Entrada
202500384,Tarde,2025-03-14 13:10:50,Entrada
202500398,Tarde,2025-03-14 13:11:05,Entrada
202500436,Tarde,2025-03-14 13:11:23,Entrada
202500420,Tarde,2025-03-14 13:11:38,Entrada
202500387,Tarde,2025-03-14 13:11:41,Entrada
202500383,Tarde,2025-03-14 13:11:46,Entrada
202500444,Tarde,2025-03-14 13:11:52,Entrada
202500455,Tarde,2025-03-14 13:11:54,Entrada
202500433,Tarde,2025-03-14 13:12:52,Entrada
202500437,Tarde,2025-03-14 13:12:54,Entrada
202500416,Tarde,2025-03-14 13:13:15,Entrada
202500467,Tarde,2025-03-14 13:13:52,Entrada
202500466,Tarde,2025-03-14 13:13:54,Entrada
202500449,Tarde,2025-03-14 13:14:00,Entrada
202500435,Tarde,2025-03-14 13:15:02,Entrada
202500498,Tarde,2025-03-14 13:15:59,Entrada
202500478,Tarde,2025-03-14 13:16:08,Entrada
202500470,Tarde,2025-03-14 13:16:12,Entrada
202500473,Tarde,2025-03-14 13:16:17,Entrada
202500474,Tarde,2025-03-14 13:16:20,Entrada
202500409,Tarde,2025-03-14 13:16:23,Entrada
202500483,Tarde,2025-03-14 13:16:46,Entrada
202500476,Tarde,2025-03-14 13:17:02,Entrada
202500495,Tarde,2025-03-14 13:21:51,Entrada
202500443,Tarde,2025-03-14 13:21:59,Entrada
