codigo,turno,data/hora
202500002,Tarde,2025-03-12 08:37:51
202500490,Tarde,2025-03-12 13:00:03
202500495,Tarde,2025-03-12 13:06:52
202500494,Tarde,2025-03-12 13:07:40
202500494,Tarde,2025-03-12 13:07:40
202500498,Tarde,2025-03-12 13:22:36
202500498,Tarde,2025-03-12 13:22:37
202500383,Tarde,2025-03-12 15:48:33
202500380,Tarde,2025-03-12 15:48:36
202500502,Tarde,2025-03-12 15:48:40
202500379,Tarde,2025-03-12 15:48:43
202500406,Tarde,2025-03-12 15:48:47
202500407,Tarde,2025-03-12 15:48:50
202500394,Tarde,2025-03-12 15:48:53
202500385,Tarde,2025-03-12 15:48:57
202500398,Tarde,2025-03-12 15:48:59
202500386,Tarde,2025-03-12 15:49:02
202500388,Tarde,2025-03-12 15:49:05
202500404,Tarde,2025-03-12 15:49:08
202500391,Tarde,2025-03-12 15:49:11
202500392,Tarde,2025-03-12 15:49:13
202500395,Tarde,2025-03-12 15:49:16
202500400,Tarde,2025-03-12 15:49:19
202500482,Tarde,2025-03-12 15:49:21
202500399,Tarde,2025-03-12 15:49:26
202500387,Tarde,2025-03-12 15:49:29
202500384,Tarde,2025-03-12 15:49:31
202500401,Tarde,2025-03-12 15:49:34
202500405,Tarde,2025-03-12 15:49:37
202500483,Tarde,2025-03-12 15:49:40
202500389,Tarde,2025-03-12 15:49:42
202500393,Tarde,2025-03-12 15:49:45
202500481,Tarde,2025-03-12 15:49:47
202500408,Tarde,2025-03-12 15:49:50
202500409,Tarde,2025-03-12 15:49:52
202500416,Tarde,2025-03-12 15:49:54
202500412,Tarde,2025-03-12 15:49:56
202500414,Tarde,2025-03-12 15:49:59
202500410,Tarde,2025-03-12 15:50:01
202500415,Tarde,2025-03-12 15:50:04
202500413,Tarde,2025-03-12 15:50:06
202500417,Tarde,2025-03-12 15:50:09
202500425,Tarde,2025-03-12 15:50:12
202500424,Tarde,2025-03-12 15:50:15
202500426,Tarde,2025-03-12 15:50:17
202500419,Tarde,2025-03-12 15:50:20
202500423,Tarde,2025-03-12 15:50:22
202500427,Tarde,2025-03-12 15:50:25
202500421,Tarde,2025-03-12 15:50:28
202500422,Tarde,2025-03-12 15:50:30
202500418,Tarde,2025-03-12 15:50:32
202500420,Tarde,2025-03-12 15:50:35
202500434,Tarde,2025-03-12 15:50:38
202500432,Tarde,2025-03-12 15:50:41
202500433,Tarde,2025-03-12 15:50:43
202500429,Tarde,2025-03-12 15:50:45
202500436,Tarde,2025-03-12 15:50:48
202500431,Tarde,2025-03-12 15:50:51
202500435,Tarde,2025-03-12 15:50:54
202500440,Tarde,2025-03-12 15:50:57
202500444,Tarde,2025-03-12 15:50:59
202500441,Tarde,2025-03-12 15:51:01
202500445,Tarde,2025-03-12 15:51:05
202500439,Tarde,2025-03-12 15:51:07
202500443,Tarde,2025-03-12 15:51:10
202500438,Tarde,2025-03-12 15:51:13
202500437,Tarde,2025-03-12 15:51:17
202500457,Tarde,2025-03-12 15:51:21
202500451,Tarde,2025-03-12 15:51:23
202500454,Tarde,2025-03-12 15:51:25
202500460,Tarde,2025-03-12 15:51:28
202500455,Tarde,2025-03-12 15:51:31
202500449,Tarde,2025-03-12 15:51:33
202500456,Tarde,2025-03-12 15:51:36
202500453,Tarde,2025-03-12 15:51:38
202500459,Tarde,2025-03-12 15:51:41
202500446,Tarde,2025-03-12 15:51:45
202500452,Tarde,2025-03-12 15:51:48
202500458,Tarde,2025-03-12 15:51:50
202500450,Tarde,2025-03-12 15:51:54
202500467,Tarde,2025-03-12 15:51:58
202500474,Tarde,2025-03-12 15:52:01
202500478,Tarde,2025-03-12 15:52:03
202500466,Tarde,2025-03-12 15:52:06
202500463,Tarde,2025-03-12 15:52:09
202500470,Tarde,2025-03-12 15:52:11
202500477,Tarde,2025-03-12 15:52:14
202500469,Tarde,2025-03-12 15:52:15
202500473,Tarde,2025-03-12 15:52:18
202500484,Tarde,2025-03-12 15:52:21
202500462,Tarde,2025-03-12 15:52:24
202500464,Tarde,2025-03-12 15:52:26
202500468,Tarde,2025-03-12 15:52:28
202500472,Tarde,2025-03-12 15:52:31
202500476,Tarde,2025-03-12 15:52:33
202500480,Tarde,2025-03-12 15:52:35
202500471,Tarde,2025-03-12 15:52:38
202500475,Tarde,2025-03-12 15:52:40
202500002,Tarde,2025-03-12 15:57:10
202500490,Tarde,2025-03-12 16:59:43
202500495,Tarde,2025-03-12 17:03:57
202500447,Tarde,2025-03-12 17:15:46
202500503,Tarde,2025-03-12 17:15:49
202500002,Tarde,2025-03-12 17:19:20
202500498,Tarde,2025-03-12 17:21:16
202500493,Tarde,2025-03-12 17:25:15
202500382,Tarde,2025-03-12 17:30:22
202500002,Tarde,2025-03-12 17:30:29
202500499,Tarde,2025-03-12 17:33:18
202500499,Tarde,2025-03-12 17:33:19
202500489,Tarde,2025-03-12 17:33:37
202500494,Tarde,2025-03-12 17:34:01
202500499,Tarde,2025-03-12 17:34:07
202500499,Tarde,2025-03-12 17:34:08
202500494,Tarde,2025-03-12 17:34:16
202500494,Tarde,2025-03-12 17:34:18
202500494,Tarde,2025-03-12 17:34:19
202500494,Tarde,2025-03-12 17:34:20
202500499,Tarde,2025-03-12 17:34:22
202500494,Tarde,2025-03-12 17:34:28
202500499,Tarde,2025-03-12 17:34:30
202500494,Tarde,2025-03-12 17:34:32
202500499,Tarde,2025-03-12 17:34:33
202500494,Tarde,2025-03-12 17:34:41
202500499,Tarde,2025-03-12 17:34:43
202500494,Tarde,2025-03-12 17:34:46
202500499,Tarde,2025-03-12 17:34:47
202500494,Tarde,2025-03-12 17:34:48
202500499,Tarde,2025-03-12 17:34:50
202500499,Tarde,2025-03-12 17:34:52
202500494,Tarde,2025-03-12 17:35:07
202500499,Tarde,2025-03-12 17:35:15
202500499,Tarde,2025-03-12 17:35:24
202500494,Tarde,2025-03-12 17:35:40
202500499,Tarde,2025-03-12 17:35:43
202500494,Tarde,2025-03-12 17:35:45
202500499,Tarde,2025-03-12 17:35:45
202500494,Tarde,2025-03-12 17:35:47
202500499,Tarde,2025-03-12 17:35:49
202500483,Tarde,2025-03-12 17:56:38
202500410,Tarde,2025-03-12 17:56:43
202500416,Tarde,2025-03-12 17:56:44
202500384,Tarde,2025-03-12 17:56:45
202500408,Tarde,2025-03-12 17:56:47
202500408,Tarde,2025-03-12 17:56:50
202500387,Tarde,2025-03-12 17:56:51
202500391,Tarde,2025-03-12 17:56:54
202500391,Tarde,2025-03-12 17:56:55
202500401,Tarde,2025-03-12 17:57:25
202500401,Tarde,2025-03-12 17:57:26
202500391,Tarde,2025-03-12 17:58:06
202500460,Tarde,2025-03-12 17:58:11
202500409,Tarde,2025-03-12 17:58:14
202500391,Tarde,2025-03-12 17:58:16
202500409,Tarde,2025-03-12 17:58:18
202500391,Tarde,2025-03-12 17:58:21
202500409,Tarde,2025-03-12 17:58:22
202500391,Tarde,2025-03-12 17:58:23
202500409,Tarde,2025-03-12 17:58:24
202500391,Tarde,2025-03-12 17:58:25
202500391,Tarde,2025-03-12 17:58:26
202500391,Tarde,2025-03-12 17:58:46
202500391,Tarde,2025-03-12 17:58:53
202500391,Tarde,2025-03-12 17:58:55
202500409,Tarde,2025-03-12 17:59:04
202500409,Tarde,2025-03-12 17:59:10
202500409,Tarde,2025-03-12 17:59:11
202500409,Tarde,2025-03-12 17:59:11
202500399,Tarde,2025-03-12 17:59:12
202500409,Tarde,2025-03-12 17:59:13
202500409,Tarde,2025-03-12 17:59:14
202500409,Tarde,2025-03-12 17:59:15
202500399,Tarde,2025-03-12 17:59:17
202500391,Tarde,2025-03-12 17:59:27
202500391,Tarde,2025-03-12 17:59:32
202500447,Tarde,2025-03-12 17:59:38
202500391,Tarde,2025-03-12 17:59:47
202500391,Tarde,2025-03-12 17:59:56
202500391,Tarde,2025-03-12 18:00:07
202500445,Tarde,2025-03-12 18:01:23
202500439,Tarde,2025-03-12 18:01:25
202500443,Tarde,2025-03-12 18:01:26
202500441,Tarde,2025-03-12 18:01:30
202500437,Tarde,2025-03-12 18:01:33
202500441,Tarde,2025-03-12 18:01:35
202500438,Tarde,2025-03-12 18:01:58
202500002,Tarde,2025-03-12 12:38:08
202500490,Tarde,2025-03-12 13:04:42
202500494,Tarde,2025-03-12 13:05:47
202500379,Tarde,2025-03-12 13:09:12
202500401,Tarde,2025-03-12 13:09:17
202500398,Tarde,2025-03-12 13:09:23
202500380,Tarde,2025-03-12 13:09:28
202500421,Tarde,2025-03-12 13:09:35
202500418,Tarde,2025-03-12 13:09:41
202500422,Tarde,2025-03-12 13:09:48
202500404,Tarde,2025-03-12 13:09:52
202500395,Tarde,2025-03-12 13:09:55
202500394,Tarde,2025-03-12 13:10:00
202500393,Tarde,2025-03-12 13:10:04
202500388,Tarde,2025-03-12 13:10:07
