codigo,turno,data/hora,tipo
202500475,Tarde,2025-03-21 13:43:17,Saída
202500480,Tarde,2025-03-21 13:43:19,Entrada
202500002,Tarde,2025-03-21 14:30:32,Saída
202500477,Tarde,2025-03-21 15:48:37,Saída
202500391,Tarde,2025-03-21 16:12:29,Entrada
202500490,Tarde,2025-03-21 17:01:27,Saída
202500493,Tarde,2025-03-21 17:11:32,Entrada
202500498,Tarde,2025-03-21 17:17:20,Saída
202500489,Tarde,2025-03-21 17:40:48,Entrada
202500462,Tarde,2025-03-21 17:56:21,Saída
202500469,Tarde,2025-03-21 17:56:23,Entrada
202500504,Tarde,2025-03-21 17:56:29,Saída
202500465,Tarde,2025-03-21 17:56:34,Entrada
202500476,Tarde,2025-03-21 17:56:46,Saída
202500470,Tarde,2025-03-21 17:56:48,Saída
202500466,Tarde,2025-03-21 17:56:50,Saída
202500467,Tarde,2025-03-21 17:56:51,Saída
202500418,Tarde,2025-03-21 17:58:44,Saída
202500426,Tarde,2025-03-21 17:58:54,Saída
202500424,Tarde,2025-03-21 17:58:55,Saída
202500437,Tarde,2025-03-21 17:59:20,Saída
202500464,Tarde,2025-03-21 17:59:48,Saída
202500480,Tarde,2025-03-21 17:59:50,Saída
202500449,Tarde,2025-03-21 17:59:52,Saída
202500453,Tarde,2025-03-21 17:59:55,Saída
202500445,Tarde,2025-03-21 17:59:57,Saída
202500434,Tarde,2025-03-21 17:59:58,Saída
202500444,Tarde,2025-03-21 18:00:00,Saída
202500460,Tarde,2025-03-21 18:00:02,Entrada
202500451,Tarde,2025-03-21 18:00:06,Saída
202500433,Tarde,2025-03-21 18:00:08,Saída
202500436,Tarde,2025-03-21 18:00:10,Saída
202500419,Tarde,2025-03-21 18:00:12,Saída
202500452,Tarde,2025-03-21 18:00:22,Saída
202500439,Tarde,2025-03-21 18:00:48,Saída
202500456,Tarde,2025-03-21 18:00:48,Entrada
202500393,Tarde,2025-03-21 18:00:50,Saída
202500394,Tarde,2025-03-21 18:00:52,Saída
202500431,Tarde,2025-03-21 18:01:32,Entrada
202500408,Tarde,2025-03-21 18:01:42,Saída
202500472,Tarde,2025-03-21 18:01:46,Saída
202500427,Tarde,2025-03-21 18:01:50,Saída
202500406,Tarde,2025-03-21 18:01:52,Saída
202500505,Tarde,2025-03-21 18:01:52,Entrada
202500407,Tarde,2025-03-21 18:01:53,Saída
202500455,Tarde,2025-03-21 18:01:57,Entrada
202500404,Tarde,2025-03-21 18:01:59,Saída
202500395,Tarde,2025-03-21 18:02:03,Saída
202500382,Tarde,2025-03-21 18:02:04,Saída
202500400,Tarde,2025-03-21 18:02:09,Saída
202500502,Tarde,2025-03-21 18:02:11,Saída
202500387,Tarde,2025-03-21 18:02:11,Saída
202500388,Tarde,2025-03-21 18:02:12,Saída
202500392,Tarde,2025-03-21 18:02:14,Saída
202500384,Tarde,2025-03-21 18:02:15,Saída
202500389,Tarde,2025-03-21 18:02:17,Saída
202500383,Tarde,2025-03-21 18:02:23,Saída
202500399,Tarde,2025-03-21 18:02:27,Entrada
202500482,Tarde,2025-03-21 18:02:29,Saída
202500401,Tarde,2025-03-21 18:04:36,Saída
202500398,Tarde,2025-03-21 18:04:36,Entrada
202500386,Tarde,2025-03-21 18:04:38,Saída
202500490,Tarde,2025-03-21 12:52:38,Entrada
202500494,Tarde,2025-03-21 12:53:36,Entrada
202500441,Tarde,2025-03-21 13:13:12,Entrada
202500437,Tarde,2025-03-21 13:13:15,Entrada
202500438,Tarde,2025-03-21 13:13:23,Entrada
202500483,Tarde,2025-03-21 13:13:26,Saída
202500458,Tarde,2025-03-21 13:13:31,Saída
202500418,Tarde,2025-03-21 13:13:36,Entrada
202500426,Tarde,2025-03-21 13:13:41,Entrada
202500414,Tarde,2025-03-21 13:13:46,Saída
202500410,Tarde,2025-03-21 13:13:51,Entrada
202500416,Tarde,2025-03-21 13:14:00,Saída
202500388,Tarde,2025-03-21 13:14:06,Entrada
202500386,Tarde,2025-03-21 13:14:11,Entrada
202500393,Tarde,2025-03-21 13:14:16,Entrada
202500394,Tarde,2025-03-21 13:14:27,Entrada
202500399,Tarde,2025-03-21 13:14:31,Saída
202500421,Tarde,2025-03-21 13:14:37,Entrada
202500431,Tarde,2025-03-21 13:14:42,Saída
202500392,Tarde,2025-03-21 13:14:53,Entrada
202500382,Tarde,2025-03-21 13:15:04,Entrada
202500404,Tarde,2025-03-21 13:15:09,Entrada
202500413,Tarde,2025-03-21 13:15:12,Entrada
202500481,Tarde,2025-03-21 13:15:15,Entrada
202500398,Tarde,2025-03-21 13:15:18,Saída
202500395,Tarde,2025-03-21 13:15:21,Entrada
202500422,Tarde,2025-03-21 13:15:25,Saída
202500427,Tarde,2025-03-21 13:15:32,Entrada
202500419,Tarde,2025-03-21 13:15:36,Entrada
202500384,Tarde,2025-03-21 13:15:41,Entrada
202500452,Tarde,2025-03-21 13:15:45,Entrada
202500389,Tarde,2025-03-21 13:15:51,Entrada
202500503,Tarde,2025-03-21 13:15:57,Saída
202500447,Tarde,2025-03-21 13:16:01,Entrada
202500457,Tarde,2025-03-21 13:16:05,Saída
202500465,Tarde,2025-03-21 13:16:08,Saída
202500453,Tarde,2025-03-21 13:16:12,Entrada
202500477,Tarde,2025-03-21 13:16:17,Entrada
202500424,Tarde,2025-03-21 13:16:19,Entrada
202500462,Tarde,2025-03-21 13:16:25,Entrada
202500505,Tarde,2025-03-21 13:16:29,Saída
202500383,Tarde,2025-03-21 13:16:35,Entrada
202500406,Tarde,2025-03-21 13:16:41,Entrada
202500408,Tarde,2025-03-21 13:16:45,Entrada
202500455,Tarde,2025-03-21 13:16:50,Saída
202500420,Tarde,2025-03-21 13:16:52,Entrada
202500387,Tarde,2025-03-21 13:16:54,Entrada
202500400,Tarde,2025-03-21 13:16:56,Entrada
202500436,Tarde,2025-03-21 13:16:58,Entrada
202500449,Tarde,2025-03-21 13:17:03,Entrada
202500484,Tarde,2025-03-21 13:17:30,Entrada
202500476,Tarde,2025-03-21 13:19:50,Entrada
202500466,Tarde,2025-03-21 13:19:53,Entrada
202500467,Tarde,2025-03-21 13:20:01,Entrada
202500409,Tarde,2025-03-21 13:20:03,Entrada
202500434,Tarde,2025-03-21 13:20:57,Entrada
202500443,Tarde,2025-03-21 13:21:13,Saída
202500415,Tarde,2025-03-21 13:21:44,Saída
202500450,Tarde,2025-03-21 13:23:25,Entrada
202500401,Tarde,2025-03-21 13:24:33,Entrada
202500470,Tarde,2025-03-21 13:26:20,Entrada
202500475,Tarde,2025-03-21 13:27:56,Entrada
202500451,Tarde,2025-03-21 13:28:29,Entrada
202500498,Tarde,2025-03-21 13:29:06,Entrada
202500482,Tarde,2025-03-21 13:29:40,Entrada
202500405,Tarde,2025-03-21 13:30:12,Entrada
202500471,Tarde,2025-03-21 13:30:18,Saída
202500497,Tarde,2025-03-21 13:32:23,Entrada
202500469,Tarde,2025-03-21 13:33:28,Saída
202500460,Tarde,2025-03-21 13:33:30,Saída
202500464,Tarde,2025-03-21 13:41:29,Entrada
202500456,Tarde,2025-03-21 13:48:29,Saída
202500407,Tarde,2025-03-21 13:49:34,Entrada
202500493,Tarde,2025-03-21 14:16:40,Saída
202500436,Tarde,2025-03-21 16:51:35,Saída
202500490,Tarde,2025-03-21 17:02:40,Saída
202500434,Tarde,2025-03-21 17:10:41,Saída
202500410,Tarde,2025-03-21 17:15:20,Saída
202500493,Tarde,2025-03-21 17:26:01,Entrada
202500498,Tarde,2025-03-21 17:27:06,Saída
202500494,Tarde,2025-03-21 17:32:34,Saída
202500431,Tarde,2025-03-21 17:59:40,Entrada
202500418,Tarde,2025-03-21 18:00:01,Saída
202500426,Tarde,2025-03-21 18:00:06,Saída
202500407,Tarde,2025-03-21 18:00:10,Saída
202500424,Tarde,2025-03-21 18:00:13,Saída
202500427,Tarde,2025-03-21 18:00:19,Saída
202500394,Tarde,2025-03-21 18:00:44,Saída
202500460,Tarde,2025-03-21 18:00:46,Entrada
202500400,Tarde,2025-03-21 18:00:47,Saída
202500387,Tarde,2025-03-21 18:00:49,Saída
202500382,Tarde,2025-03-21 18:00:54,Saída
202500393,Tarde,2025-03-21 18:00:58,Saída
202500405,Tarde,2025-03-21 18:01:03,Saída
202500444,Tarde,2025-03-21 18:01:08,Entrada
202500383,Tarde,2025-03-21 18:01:09,Saída
202500443,Tarde,2025-03-21 18:01:09,Entrada
202500438,Tarde,2025-03-21 18:01:17,Saída
202500453,Tarde,2025-03-21 18:01:24,Saída
202500437,Tarde,2025-03-21 18:01:27,Saída
202500456,Tarde,2025-03-21 18:01:29,Entrada
202500477,Tarde,2025-03-21 18:01:34,Saída
202500441,Tarde,2025-03-21 18:01:36,Saída
202500464,Tarde,2025-03-21 18:01:38,Saída
202500451,Tarde,2025-03-21 18:01:42,Saída
202500414,Tarde,2025-03-21 18:01:44,Entrada
202500470,Tarde,2025-03-21 18:01:49,Saída
202500415,Tarde,2025-03-21 18:01:57,Entrada
202500406,Tarde,2025-03-21 18:02:26,Saída
202500455,Tarde,2025-03-21 18:02:28,Entrada
202500408,Tarde,2025-03-21 18:02:31,Saída
202500505,Tarde,2025-03-21 18:02:33,Entrada
202500404,Tarde,2025-03-21 18:02:37,Saída
202500386,Tarde,2025-03-21 18:02:39,Saída
202500401,Tarde,2025-03-21 18:02:42,Saída
202500475,Tarde,2025-03-21 18:02:43,Saída
202500392,Tarde,2025-03-21 18:02:47,Saída
202500395,Tarde,2025-03-21 18:02:49,Saída
202500481,Tarde,2025-03-21 18:02:51,Saída
202500398,Tarde,2025-03-21 18:02:52,Entrada
202500388,Tarde,2025-03-21 18:03:16,Saída
202500384,Tarde,2025-03-21 18:03:19,Saída
202500482,Tarde,2025-03-21 18:03:21,Saída
202500399,Tarde,2025-03-21 18:03:27,Entrada
202500462,Tarde,2025-03-21 18:03:35,Saída
202500466,Tarde,2025-03-21 18:04:25,Saída
