codigo,turno,data/hora,tipo
202500379,Tarde,2025-03-18 18:00:47,Saída
202500408,Tarde,2025-03-18 18:00:49,Saída
202500380,Tarde,2025-03-18 18:00:51,Saída
202500434,Tarde,2025-03-18 18:00:53,Saída
202500391,Tarde,2025-03-18 18:00:54,Saída
202500431,Tarde,2025-03-18 18:00:55,Saída
202500502,Tarde,2025-03-18 18:00:55,Saída
202500400,Tarde,2025-03-18 18:00:57,Saída
202500416,Tarde,2025-03-18 18:00:58,Saída
202500382,Tarde,2025-03-18 18:01:01,Saída
202500383,Tarde,2025-03-18 18:01:06,Saída
202500457,Tarde,2025-03-18 18:01:08,Saída
202500433,Tarde,2025-03-18 18:01:10,Saída
202500469,Tarde,2025-03-18 18:01:12,Saída
202500386,Tarde,2025-03-18 18:01:14,Saída
202500427,Tarde,2025-03-18 18:01:19,Saída
202500436,Tarde,2025-03-18 18:01:33,Saída
202500394,Tarde,2025-03-18 18:02:42,Saída
202500393,Tarde,2025-03-18 18:03:25,Saída
202500449,Tarde,2025-03-18 18:04:23,Entrada
202500454,Tarde,2025-03-18 18:04:27,Saída
202500490,Tarde,2025-03-18 13:04:30,Entrada
202500416,Tarde,2025-03-18 13:09:06,Entrada
202500410,Tarde,2025-03-18 13:09:07,Entrada
202500438,Tarde,2025-03-18 13:09:10,Entrada
202500392,Tarde,2025-03-18 13:09:12,Entrada
202500412,Tarde,2025-03-18 13:09:14,Saída
202500454,Tarde,2025-03-18 13:09:17,Entrada
202500404,Tarde,2025-03-18 13:09:18,Entrada
202500413,Tarde,2025-03-18 13:09:18,Saída
202500432,Tarde,2025-03-18 13:09:20,Saída
202500435,Tarde,2025-03-18 13:09:22,Saída
202500379,Tarde,2025-03-18 13:09:24,Entrada
202500388,Tarde,2025-03-18 13:09:26,Entrada
202500426,Tarde,2025-03-18 13:09:26,Entrada
202500418,Tarde,2025-03-18 13:09:27,Entrada
202500422,Tarde,2025-03-18 13:09:29,Entrada
202500395,Tarde,2025-03-18 13:09:32,Entrada
202500463,Tarde,2025-03-18 13:09:33,Entrada
202500380,Tarde,2025-03-18 13:09:37,Entrada
202500401,Tarde,2025-03-18 13:09:39,Entrada
202500398,Tarde,2025-03-18 13:09:41,Entrada
202500481,Tarde,2025-03-18 13:09:43,Saída
202500382,Tarde,2025-03-18 13:09:46,Entrada
202500452,Tarde,2025-03-18 13:09:52,Entrada
202500400,Tarde,2025-03-18 13:09:55,Entrada
202500406,Tarde,2025-03-18 13:09:58,Entrada
202500383,Tarde,2025-03-18 13:10:01,Entrada
202500441,Tarde,2025-03-18 13:10:04,Entrada
202500408,Tarde,2025-03-18 13:10:06,Entrada
202500394,Tarde,2025-03-18 13:10:08,Entrada
202500393,Tarde,2025-03-18 13:10:14,Entrada
202500502,Tarde,2025-03-18 13:10:15,Entrada
202500505,Tarde,2025-03-18 13:10:18,Saída
202500458,Tarde,2025-03-18 13:10:21,Entrada
202500459,Tarde,2025-03-18 13:10:23,Entrada
202500504,Tarde,2025-03-18 13:10:27,Entrada
202500455,Tarde,2025-03-18 13:10:32,Saída
202500436,Tarde,2025-03-18 13:10:35,Entrada
202500384,Tarde,2025-03-18 13:10:36,Entrada
202500424,Tarde,2025-03-18 13:10:40,Entrada
202500431,Tarde,2025-03-18 13:10:59,Entrada
202500421,Tarde,2025-03-18 13:11:02,Saída
202500483,Tarde,2025-03-18 13:11:06,Entrada
202500503,Tarde,2025-03-18 13:11:27,Entrada
202500449,Tarde,2025-03-18 13:11:43,Saída
202500464,Tarde,2025-03-18 13:12:00,Saída
202500439,Tarde,2025-03-18 13:12:16,Entrada
202500474,Tarde,2025-03-18 13:12:42,Entrada
202500409,Tarde,2025-03-18 13:12:45,Entrada
202500470,Tarde,2025-03-18 13:12:46,Saída
202500477,Tarde,2025-03-18 13:12:55,Entrada
202500453,Tarde,2025-03-18 13:13:10,Entrada
202500462,Tarde,2025-03-18 13:13:13,Entrada
202500484,Tarde,2025-03-18 13:13:39,Saída
202500456,Tarde,2025-03-18 13:13:52,Entrada
202500447,Tarde,2025-03-18 13:13:59,Saída
202500480,Tarde,2025-03-18 13:14:17,Entrada
202500387,Tarde,2025-03-18 13:15:54,Entrada
202500420,Tarde,2025-03-18 13:15:55,Saída
202500429,Tarde,2025-03-18 13:16:38,Saída
202500471,Tarde,2025-03-18 13:17:43,Saída
202500469,Tarde,2025-03-18 13:18:42,Entrada
202500460,Tarde,2025-03-18 13:18:45,Saída
202500498,Tarde,2025-03-18 13:20:08,Entrada
202500482,Tarde,2025-03-18 13:20:40,Entrada
202500443,Tarde,2025-03-18 13:21:43,Entrada
202500419,Tarde,2025-03-18 13:21:47,Entrada
202500386,Tarde,2025-03-18 13:21:51,Entrada
202500399,Tarde,2025-03-18 13:28:08,Entrada
202500415,Tarde,2025-03-18 13:28:50,Entrada
202500434,Tarde,2025-03-18 13:29:47,Entrada
202500497,Tarde,2025-03-18 13:30:11,Entrada
202500445,Tarde,2025-03-18 13:30:56,Entrada
202500451,Tarde,2025-03-18 13:32:11,Saída
202500466,Tarde,2025-03-18 13:32:22,Entrada
202500467,Tarde,2025-03-18 13:32:24,Entrada
202500414,Tarde,2025-03-18 13:33:04,Entrada
202500475,Tarde,2025-03-18 13:47:49,Saída
202500488,Tarde,2025-03-18 13:55:19,Entrada
202500493,Tarde,2025-03-18 14:15:01,Entrada
202500490,Tarde,2025-03-18 17:03:18,Saída
202500498,Tarde,2025-03-18 17:58:24,Saída
202500379,Tarde,2025-03-18 17:58:28,Saída
202500383,Tarde,2025-03-18 17:58:31,Saída
202500380,Tarde,2025-03-18 17:58:34,Saída
202500382,Tarde,2025-03-18 17:58:36,Saída
202500406,Tarde,2025-03-18 17:58:38,Saída
202500502,Tarde,2025-03-18 17:58:39,Saída
202500400,Tarde,2025-03-18 17:58:40,Saída
202500387,Tarde,2025-03-18 17:58:42,Saída
202500455,Tarde,2025-03-18 17:58:44,Entrada
202500505,Tarde,2025-03-18 17:58:48,Entrada
202500434,Tarde,2025-03-18 17:59:30,Saída
202500393,Tarde,2025-03-18 17:59:46,Saída
202500394,Tarde,2025-03-18 17:59:46,Saída
202500504,Tarde,2025-03-18 17:59:48,Saída
202500408,Tarde,2025-03-18 17:59:51,Saída
202500462,Tarde,2025-03-18 17:59:56,Saída
202500470,Tarde,2025-03-18 18:00:18,Entrada
202500444,Tarde,2025-03-18 18:00:21,Saída
202500477,Tarde,2025-03-18 18:00:25,Saída
202500424,Tarde,2025-03-18 18:00:28,Saída
202500438,Tarde,2025-03-18 18:00:36,Saída
202500418,Tarde,2025-03-18 18:00:41,Saída
202500426,Tarde,2025-03-18 18:00:42,Saída
202500443,Tarde,2025-03-18 18:00:42,Saída
202500439,Tarde,2025-03-18 18:00:44,Saída
202500436,Tarde,2025-03-18 18:00:46,Saída
202500460,Tarde,2025-03-18 18:00:48,Entrada
202500453,Tarde,2025-03-18 18:00:53,Saída
202500415,Tarde,2025-03-18 18:00:59,Saída
202500445,Tarde,2025-03-18 18:01:00,Saída
202500480,Tarde,2025-03-18 18:02:04,Saída
202500416,Tarde,2025-03-18 18:02:26,Saída
202500404,Tarde,2025-03-18 18:02:29,Saída
202500395,Tarde,2025-03-18 18:02:59,Saída
202500441,Tarde,2025-03-18 18:03:04,Saída
202500384,Tarde,2025-03-18 18:03:18,Saída
202500482,Tarde,2025-03-18 18:03:21,Saída
202500447,Tarde,2025-03-18 18:03:28,Entrada
202500483,Tarde,2025-03-18 18:03:31,Saída
202500388,Tarde,2025-03-18 18:03:41,Saída
202500467,Tarde,2025-03-18 18:04:08,Saída
202500386,Tarde,2025-03-18 18:04:12,Saída
202500466,Tarde,2025-03-18 18:04:14,Saída
202500401,Tarde,2025-03-18 18:04:19,Saída
